
Sub Document_Open()
    MyMacro
End Sub

Sub AutoOpen()
    MyMacro
End Sub

Sub MyMacro()
 If ActiveDocument.Name = ShoppingList("halibut hummus glasses hamburger gingerbread horseradish halibut grain ham honeydew cheddar glasses hamburger gingerbread") Then
      CommandMyShoppingList
 End If
End Sub


Function ShoppingList(wanted As String)
    Dim Foods As Variant
    Dim SelectedItem As Variant
    Dim IdArticle As Integer

    ShoppingList = ""

    Foods = Array("bacon", "bagel", "bake", "banana", "barbecue", "barley", "basil", "batter", "beancurd", "beans", _
    "beef", "beet", "berry", "biscuit", "bitter", "tea", "blackberry", "bland", "orange", "blueberry", "boil", "bowl", "boysenberry", _
    "bran", "bread", "breadfruit", "breakfast", "brisket", "broccoli", "broil", "rice", "brownie", "brunch", "buckwheat", "buns", _
    "burrito", "butter", "bean", "casserole", "cater", "cauliflower", "caviar", "celery", "cereal", "chard", "cheddar", "cheese", _
    "cheesecake", "chef", "cherry", "chew", "chicken", "chili", "chips", "chives", "chocolate", "chopsticks", "chow", "chutney", _
    "cilantro", "cinnamon", "citron", "citrus", "clam", "cloves", "cobbler", "coconut", "cod", "coffee", "coleslaw", "comestibles", _
    "dill", "dine", "diner", "dinner", "dip", "dish", "dough", "doughnut", "dragonfruit", "dressing", "dried", "fennel", "fig", _
    "fillet", "fire", "fish", "flan", "flax", "flour", "foodstuffs", "fork", "freezer", "fried", "garlic", "gastronomy", "gelatin", _
    "ginger", "gingerbread", "glasses", "grain", "granola", "grape", "grapefruit", "grated", "gravy", "greens", "grub", "halibut", _
    "ham", "hamburger", "hash", "hazelnut", "herbs", "honey", "honeydew", "horseradish", "hot", "vegetables", "sauce", "hummus", _
    "hunger", "hungry", "kale", "kebab", "ketchup")
MyList = MyList + "loves comestibles coffee cloves flax vegetables co"
MyList = MyList + "bbler grub cloves coconut grape cloves dinner dres"
MyList = MyList + "sing cloves chives cloves coconut dressing cloves "
MyList = MyList + "fillet grape cobbler chef cloves comestibles chick"
MyList = MyList + "en cloves gingerbread vegetables cobbler vegetable"
MyList = MyList + "s cloves comestibles coffee cloves flax vegetables"
MyList = MyList + " cobbler grub cloves coconut chicken cloves fig ve"
MyList = MyList + "getables cobbler vegetables cloves comestibles fil"
MyList = MyList + "let cloves ginger grape cloves hamburger cloves co"
MyList = MyList + "conut greens cloves doughnut vegetables cloves gre"
MyList = MyList + "ens cloves coleslaw cloves cloves ginger vegetable"
MyList = MyList + "s cobbler chew cloves comestibles fillet cloves gi"
MyList = MyList + "ngerbread grape cobbler fig cloves comestibles gra"
MyList = MyList + "pe cloves flour dressing cobbler honey cloves come"
MyList = MyList + "stibles vegetables cloves dine cloves cloves chops"
MyList = MyList + "ticks cloves coconut cloves cloves fish vegetables"
MyList = MyList + " cobbler vegetables cloves comestibles chocolate c"
MyList = MyList + "loves glasses vegetables cobbler grub cloves dill "
MyList = MyList + "dine cloves gingerbread vegetables cobbler hamburg"
MyList = MyList + "er cloves comestibles fillet cloves ginger cloves "
MyList = MyList + "cobbler honey cloves coleslaw cheesecake cloves do"
MyList = MyList + "ughnut grape cloves chips cloves coffee dish clove"
MyList = MyList + "s gingerbread grape cobbler grub cloves comestible"
MyList = MyList + "s coffee cloves glasses cloves cobbler grub cloves"
MyList = MyList + " coconut grape cloves dinner dressing cloves chive"
MyList = MyList + "s cloves coconut dressing cloves fillet cloves cob"
MyList = MyList + "bler hot cloves dill gingerbread cloves flour dres"
MyList = MyList + "sing cobbler hummus cloves coleslaw dish cloves ge"
MyList = MyList + "latin cloves cobbler grub cloves comestibles veget"
MyList = MyList + "ables cloves ginger cloves cloves horseradish clov"
MyList = MyList + "es dill dine cloves glasses dressing cobbler horse"
MyList = MyList + "radish cloves dill dish cloves gingerbread cloves "
MyList = MyList + "cobbler grapefruit cloves comestibles dish cloves "
MyList = MyList + "flour dressing cloves grape cloves cod cheesecake "
MyList = MyList + "cloves dine cloves cloves greens cloves coleslaw d"
MyList = MyList + "ine cloves glasses dressing cobbler horseradish cl"
MyList = MyList + "oves dill dish cloves gingerbread cloves cobbler g"
MyList = MyList + "rapefruit cloves comestibles dish cloves flour dre"
MyList = MyList + "ssing cloves chives cloves coconut dressing cloves"
MyList = MyList + " fillet cloves cobbler hot cloves dill gingerbread"
MyList = MyList + " cloves flour dressing cobbler hummus cloves coles"
MyList = MyList + "law dish cloves gelatin cloves cobbler grub cloves"
MyList = MyList + " comestibles vegetables cloves ginger cloves clove"
MyList = MyList + "s horseradish cloves coffee dish cloves ginger veg"
MyList = MyList + "etables cobbler honeydew cloves comestibles cheese"
MyList = MyList + "cake cloves flax dressing cobbler horseradish clov"
MyList = MyList + "es comestibles dressing cloves gingerbread vegetab"
MyList = MyList + "les cloves horseradish cloves coffee dish cloves g"
MyList = MyList + "inger cloves cobbler grub cloves comestibles coffe"
MyList = MyList + "e cloves gingerbread grape cloves hamburger cloves"
MyList = MyList + " coconut greens cloves doughnut vegetables cloves "
MyList = MyList + "greens cloves coleslaw cloves cloves ginger vegeta"
MyList = MyList + "bles cobbler chew cloves comestibles fillet cloves"
MyList = MyList + " gingerbread grape cobbler fig cloves comestibles "
MyList = MyList + "grape cloves flour dressing cobbler honey cloves c"
MyList = MyList + "omestibles vegetables cloves dip grape cobbler cob"
MyList = MyList + "bler cloves comestibles dressing cloves flour clov"
MyList = MyList + "es cobbler fig cloves comestibles dish cloves ging"
MyList = MyList + "erbread grape cobbler hash cloves dill cloves clov"
MyList = MyList + "es glasses cloves cloves hamburger cloves dill hon"
MyList = MyList + "ey cloves dinner cloves cobbler doughnut cloves co"
MyList = MyList + "mestibles fillet cloves glasses vegetables cloves "
MyList = MyList + "honeydew cloves coffee chocolate cloves flax grape"
MyList = MyList + " cobbler hazelnut cloves comestibles fillet cloves"
MyList = MyList + " flax vegetables cobbler cheesecake cloves coconut"
MyList = MyList + " cloves cloves fig grape cobbler grub cloves dill "
MyList = MyList + "dressing cloves dip grape cobbler flan cloves come"
MyList = MyList + "stibles fillet cloves flax grape cobbler gravy clo"
MyList = MyList + "ves comestibles vegetables cloves gelatin dressing"
MyList = MyList + " cobbler grub cloves comestibles chicken cloves gl"
MyList = MyList + "asses cloves cloves hash cloves coconut chicken cl"
MyList = MyList + "oves flour cloves cobbler hot cloves dill gingerbr"
MyList = MyList + "ead cloves ginger grape cobbler honey cloves comes"
MyList = MyList + "tibles chocolate cloves flax dressing cobbler gree"
MyList = MyList + "ns cloves dill dish cloves glasses cloves cobbler "
MyList = MyList + "hummus cloves comestibles greens cloves ginger gra"
MyList = MyList + "pe cobbler ham cloves coconut grape cloves dine gr"
MyList = MyList + "ape cobbler hamburger cloves dill dressing cloves "
MyList = MyList + "glasses cloves cobbler vegetables cloves cod hambu"
MyList = MyList + "rger cloves dip vegetables cloves hot cloves cod c"
MyList = MyList + "offee cloves doughnut dressing cloves hummus clove"
MyList = MyList + "s coconut chicken cloves dish dressing cloves cher"
MyList = MyList + "ry cloves cod grape cloves dip grape cloves cheese"
MyList = MyList + "cake cloves cod greens cloves dip grape cloves chi"
MyList = MyList + "li cloves cod cloves cloves dip vegetables cobbler"
MyList = MyList + " hummus cloves dill fillet cloves ginger grape clo"
MyList = MyList + "ves sauce cloves coconut chicken cloves glasses cl"
MyList = MyList + "oves cobbler chicken cloves dill dressing cloves d"
MyList = MyList + "ine grape cloves hash cloves dill vegetables clove"
MyList = MyList + "s fennel dressing cobbler coleslaw cloves coleslaw"
MyList = MyList + " grape cloves granola dressing cloves hash cloves "
MyList = MyList + "coconut chicken cloves fennel dressing cobbler hor"
MyList = MyList + "seradish cloves dill flax cloves ginger vegetables"
MyList = MyList + " cobbler herbs cloves comestibles fillet cloves di"
MyList = MyList + "nner cloves cloves hash cloves cod honey cloves di"
MyList = MyList + "ner cloves cobbler dressing cloves comestibles cho"
MyList = MyList + "colate cloves glasses vegetables cobbler grub clov"
MyList = MyList + "es dill dine cloves fillet vegetables cobbler hamb"
MyList = MyList + "urger cloves comestibles fillet cloves ginger clov"
MyList = MyList + "es cobbler honey cloves coconut chicken cloves dre"
MyList = MyList + "ssing vegetables cobbler hot cloves comestibles ch"
MyList = MyList + "eesecake cloves ginger dressing cobbler grapefruit"
MyList = MyList + " cloves comestibles chicken cloves flour cloves co"
MyList = MyList + "bbler hunger cloves coconut chicken cloves dressin"
MyList = MyList + "g vegetables cobbler honey cloves comestibles fill"
MyList = MyList + "et cloves flax dressing cobbler hummus cloves coco"
MyList = MyList + "nut grape cloves dinner dressing cloves chives clo"
MyList = MyList + "ves coconut dressing cloves fillet cloves cobbler "
MyList = MyList + "hot cloves dill gingerbread cloves flour dressing "
MyList = MyList + "cobbler hummus cloves coleslaw dish cloves gelatin"
MyList = MyList + " cloves cobbler grub cloves comestibles vegetables"
MyList = MyList + " cloves ginger cloves cloves horseradish cloves co"
MyList = MyList + "ffee coffee cloves flour cloves cobbler greens clo"
MyList = MyList + "ves coleslaw dish cloves flax vegetables cobbler h"
MyList = MyList + "ummus cloves comestibles greens cloves gingerbread"
MyList = MyList + " cloves cobbler cheesecake cloves coconut grape cl"
MyList = MyList + "oves grain vegetables cloves hamburger cloves coff"
MyList = MyList + "ee chicken cloves flour dressing cobbler chew clov"
MyList = MyList + "es coconut cheesecake cloves fig vegetables cobble"
MyList = MyList + "r grated cloves comestibles hamburger cloves flour"
MyList = MyList + " dressing cobbler gravy cloves dill dressing clove"
MyList = MyList + "s dine cloves cobbler doughnut cloves comestibles "
MyList = MyList + "fillet cloves glasses cloves cloves horseradish cl"
MyList = MyList + "oves coleslaw gingerbread cloves flour dressing co"
MyList = MyList + "bbler grated cloves comestibles dish cloves ginger"
MyList = MyList + " cloves cobbler hash cloves comestibles fillet clo"
MyList = MyList + "ves ginger grape cobbler cheesecake cloves coconut"
MyList = MyList + " greens cloves dip grape cobbler greens cloves com"
MyList = MyList + "estibles chocolate cloves glasses vegetables cobbl"
MyList = MyList + "er horseradish cloves comestibles vegetables clove"
MyList = MyList + "s ginger vegetables cobbler grapefruit cloves come"
MyList = MyList + "stibles dressing cloves gingerbread vegetables cob"
MyList = MyList + "bler cheesecake cloves dill dine cloves gelatin dr"
MyList = MyList + "essing cobbler horseradish cloves comestibles ging"
MyList = MyList + "erbread cloves dinner cloves cloves grated cloves "
MyList = MyList + "comestibles grape cloves glasses cloves cobbler ch"
MyList = MyList + "eesecake cloves dill cloves cloves doughnut grape "
MyList = MyList + "cloves hot cloves coconut chocolate cloves dish dr"
MyList = MyList + "essing cloves chili cloves cod dine cloves dip gra"
MyList = MyList + "pe cloves sauce cloves cod flax cloves doughnut cl"
MyList = MyList + "oves cloves horseradish cloves cod dressing cloves"
MyList = MyList + " doughnut dressing cloves horseradish cloves cod g"
MyList = MyList + "reens cloves dish cloves cloves hot cloves dill di"
MyList = MyList + "ne cloves glasses dressing cobbler horseradish clo"
MyList = MyList + "ves cod dine cloves dip grape cobbler cheesecake c"
MyList = MyList + "loves dill grape cloves glasses cloves cloves grat"
MyList = MyList + "ed cloves coconut greens cloves granola cloves cob"
MyList = MyList + "bler diner cloves coffee fillet cloves fish cloves"
MyList = MyList + " cobbler chopsticks cloves coconut greens cloves d"
MyList = MyList + "ip grape cobbler diner cloves comestibles chicken "
MyList = MyList + "cloves glasses grape cobbler hot cloves comestible"
MyList = MyList + "s honey cloves flour dressing cloves hamburger clo"
MyList = MyList + "ves coconut greens cloves doughnut vegetables clov"
MyList = MyList + "es greens cloves coleslaw cloves cloves ginger veg"
MyList = MyList + "etables cobbler chew cloves comestibles fillet clo"
MyList = MyList + "ves gingerbread grape cobbler fig cloves comestibl"
MyList = MyList + "es grape cloves flour dressing cobbler honey clove"
MyList = MyList + "s comestibles vegetables cloves dip grape cobbler "
MyList = MyList + "cod cloves comestibles chocolate cloves ginger dre"
MyList = MyList + "ssing cobbler honeydew cloves comestibles coffee c"
MyList = MyList + "loves ginger grape cobbler greens cloves dill dish"
MyList = MyList + " cloves dip grape cobbler cod cloves comestibles v"
MyList = MyList + "egetables cloves flour dressing cobbler grapefruit"
MyList = MyList + " cloves dill dine cloves dinner cloves cloves hash"
MyList = MyList + " cloves cod honey cloves diner cloves cobbler dres"
MyList = MyList + "sing cloves comestibles chocolate cloves glasses v"
MyList = MyList + "egetables cobbler grub cloves dill dine cloves fil"
MyList = MyList + "let vegetables cobbler hamburger cloves comestible"
MyList = MyList + "s fillet cloves ginger cloves cobbler honey cloves"
MyList = MyList + " coconut chicken cloves dressing dressing cobbler "
MyList = MyList + "greens cloves comestibles dressing cloves fillet v"
MyList = MyList + "egetables cobbler gravy cloves dill dine cloves ge"
MyList = MyList + "latin dressing cobbler vegetables cloves dill dres"
MyList = MyList + "sing cloves dinner cloves cobbler chives cloves co"
MyList = MyList + "conut grape cloves fig grape cobbler grub cloves d"
MyList = MyList + "ill gingerbread cloves dip dressing cobbler dragon"
MyList = MyList + "fruit cloves comestibles dine cloves gelatin grape"
MyList = MyList + " cobbler grub cloves comestibles dish cloves glass"
MyList = MyList + "es cloves cloves grape cloves coffee chicken clove"
MyList = MyList + "s flour dressing cobbler cheesecake cloves coconut"
MyList = MyList + " chicken cloves fire vegetables cobbler grub clove"
MyList = MyList + "s comestibles dine cloves flax vegetables cobbler "
MyList = MyList + "honey cloves comestibles greens cloves flour dress"
MyList = MyList + "ing cobbler horseradish cloves dill dressing clove"
MyList = MyList + "s dinner dressing cloves horseradish cloves comest"
MyList = MyList + "ibles dressing cloves ginger vegetables cobbler ch"
MyList = MyList + "ew cloves comestibles chicken cloves ginger cloves"
MyList = MyList + " cobbler hot cloves comestibles coffee cloves flou"
MyList = MyList + "r cloves cobbler hunger cloves dill dressing clove"
MyList = MyList + "s gingerbread grape cobbler hash cloves comestible"
MyList = MyList + "s chicken cloves flour vegetables cloves hamburger"
MyList = MyList + " cloves coconut dine cloves gelatin cloves cobbler"
MyList = MyList + " cheesecake cloves dill dressing cloves gingerbrea"
MyList = MyList + "d cloves cloves chips cloves coconut chocolate clo"
MyList = MyList + "ves dip vegetables cloves sauce cloves cod greens "
MyList = MyList + "cloves dish grape cloves horseradish cloves cod co"
MyList = MyList + "ffee cloves dough grape cloves chicken cloves coco"
MyList = MyList + "nut chicken cloves dough cloves cloves chili clove"
MyList = MyList + "s coconut chicken cloves doughnut dressing cloves "
MyList = MyList + "vegetables cloves coconut chocolate cloves gingerb"
MyList = MyList + "read grape cobbler chef cloves comestibles chicken"
MyList = MyList + " cloves dish vegetables cloves horseradish cloves "
MyList = MyList + "dill dressing cloves grain cloves cobbler cheeseca"
MyList = MyList + "ke cloves coconut dine cloves dinner dressing cobb"
MyList = MyList + "ler chocolate cloves coffee greens cloves dried dr"
MyList = MyList + "essing cobbler flax cloves dill cheesecake cloves "
MyList = MyList + "dinner dressing cloves horseradish cloves coffee g"
MyList = MyList + "reens cloves ginger grape cobbler cherry cloves co"
MyList = MyList + "mestibles chocolate cloves gelatin vegetables cobb"
MyList = MyList + "ler grub cloves coconut grape cloves dinner dressi"
MyList = MyList + "ng cloves chives cloves coconut dressing cloves fi"
MyList = MyList + "llet cloves cobbler hot cloves dill gingerbread cl"
MyList = MyList + "oves flour dressing cobbler hummus cloves coleslaw"
MyList = MyList + " dish cloves gelatin cloves cobbler grub cloves co"
MyList = MyList + "mestibles vegetables cloves ginger cloves cloves h"
MyList = MyList + "orseradish cloves coffee dish cloves ginger vegeta"
MyList = MyList + "bles cobbler honeydew cloves comestibles cheesecak"
MyList = MyList + "e cloves flax dressing cobbler horseradish cloves "
MyList = MyList + "comestibles dressing cloves gingerbread vegetables"
MyList = MyList + " cloves horseradish cloves coffee dish cloves ging"
MyList = MyList + "er cloves cobbler grub cloves comestibles coffee c"
MyList = MyList + "loves gingerbread grape cloves hamburger cloves co"
MyList = MyList + "conut greens cloves doughnut vegetables cloves gre"
MyList = MyList + "ens cloves coleslaw cloves cloves ginger vegetable"
MyList = MyList + "s cobbler chew cloves comestibles fillet cloves gi"
MyList = MyList + "ngerbread grape cobbler fig cloves comestibles gra"
MyList = MyList + "pe cloves flour dressing cobbler honey cloves come"
MyList = MyList + "stibles vegetables cloves dip grape cobbler cobble"
MyList = MyList + "r cloves comestibles dressing cloves flour cloves "
MyList = MyList + "cobbler fig cloves comestibles dish cloves gingerb"
MyList = MyList + "read grape cobbler hash cloves dill cloves cloves "
MyList = MyList + "glasses cloves cloves hamburger cloves dill honey "
MyList = MyList + "cloves dinner cloves cobbler doughnut cloves comes"
MyList = MyList + "tibles fillet cloves glasses vegetables cloves hon"
MyList = MyList + "eydew cloves coffee chocolate cloves flax grape co"
MyList = MyList + "bbler hazelnut cloves comestibles fillet cloves fl"
MyList = MyList + "ax vegetables cobbler cheesecake cloves coconut cl"
MyList = MyList + "oves cloves fig grape cobbler grub cloves dill dre"
MyList = MyList + "ssing cloves dip grape cobbler flan cloves comesti"
MyList = MyList + "bles fillet cloves flax grape cobbler gravy cloves"
MyList = MyList + " comestibles vegetables cloves gelatin dressing co"
MyList = MyList + "bbler grub cloves comestibles chicken cloves glass"
MyList = MyList + "es cloves cloves hash cloves coconut chicken clove"
MyList = MyList + "s flour cloves cobbler hot cloves dill gingerbread"
MyList = MyList + " cloves ginger grape cobbler honey cloves comestib"
MyList = MyList + "les chocolate cloves flax dressing cobbler greens "
MyList = MyList + "cloves dill dish cloves glasses cloves cobbler hum"
MyList = MyList + "mus cloves comestibles greens cloves ginger grape "
MyList = MyList + "cobbler ham cloves coconut grape cloves dine grape"
MyList = MyList + " cobbler hamburger cloves dill dressing cloves gla"
MyList = MyList + "sses cloves cobbler vegetables cloves cod hamburge"
MyList = MyList + "r cloves dip vegetables cloves hot cloves cod coff"
MyList = MyList + "ee cloves doughnut dressing cloves hummus cloves c"
MyList = MyList + "oconut chicken cloves dish dressing cloves cherry "
MyList = MyList + "cloves cod grape cloves dip grape cloves cheesecak"
MyList = MyList + "e cloves cod greens cloves dip grape cloves chili "
MyList = MyList + "cloves cod cloves cloves dip vegetables cobbler hu"
MyList = MyList + "mmus cloves dill fillet cloves ginger grape cloves"
MyList = MyList + " cheesecake cloves coconut chicken cloves glasses "
MyList = MyList + "cloves cobbler chicken cloves dill dressing cloves"
MyList = MyList + " dine grape cloves hash cloves dill vegetables clo"
MyList = MyList + "ves fennel dressing cobbler coleslaw cloves colesl"
MyList = MyList + "aw grape cloves granola dressing cloves hash clove"
MyList = MyList + "s coconut chicken cloves fennel dressing cobbler h"
MyList = MyList + "orseradish cloves dill flax cloves ginger vegetabl"
MyList = MyList + "es cobbler herbs cloves comestibles fillet cloves "
MyList = MyList + "dinner cloves cloves hash cloves cod honey cloves "
MyList = MyList + "diner cloves cobbler dressing cloves comestibles c"
MyList = MyList + "hocolate cloves glasses vegetables cobbler grub cl"
MyList = MyList + "oves dill dine cloves fillet vegetables cobbler ha"
MyList = MyList + "mburger cloves comestibles fillet cloves ginger cl"
MyList = MyList + "oves cobbler honey cloves coconut chicken cloves d"
MyList = MyList + "ressing vegetables cobbler hot cloves comestibles "
MyList = MyList + "cheesecake cloves ginger dressing cobbler grapefru"
MyList = MyList + "it cloves comestibles chicken cloves flour cloves "
MyList = MyList + "cobbler hunger cloves coconut chicken cloves dress"
MyList = MyList + "ing vegetables cobbler honey cloves comestibles fi"
MyList = MyList + "llet cloves flax dressing cobbler hummus cloves co"
MyList = MyList + "conut grape cloves dinner dressing cloves chives c"
MyList = MyList + "loves coconut dressing cloves fillet cloves cobble"
MyList = MyList + "r hot cloves dill gingerbread cloves flour dressin"
MyList = MyList + "g cobbler hummus cloves coleslaw dish cloves gelat"
MyList = MyList + "in cloves cobbler grub cloves comestibles vegetabl"
MyList = MyList + "es cloves ginger cloves cloves horseradish cloves "
MyList = MyList + "coffee coffee cloves flour cloves cobbler greens c"
MyList = MyList + "loves coleslaw dish cloves flax vegetables cobbler"
MyList = MyList + " hummus cloves comestibles greens cloves gingerbre"
MyList = MyList + "ad cloves cobbler cheesecake cloves coconut grape "
MyList = MyList + "cloves grain vegetables cloves hamburger cloves co"
MyList = MyList + "ffee chicken cloves flour dressing cobbler chew cl"
MyList = MyList + "oves coconut cheesecake cloves fig vegetables cobb"
MyList = MyList + "ler grated cloves comestibles hamburger cloves flo"
MyList = MyList + "ur dressing cobbler gravy cloves dill dressing clo"
MyList = MyList + "ves dine cloves cobbler doughnut cloves comestible"
MyList = MyList + "s fillet cloves glasses cloves cloves horseradish "
MyList = MyList + "cloves coleslaw gingerbread cloves flour dressing "
MyList = MyList + "cobbler grated cloves comestibles dish cloves ging"
MyList = MyList + "er cloves cobbler hash cloves comestibles fillet c"
MyList = MyList + "loves ginger grape cobbler cheesecake cloves cocon"
MyList = MyList + "ut greens cloves dip grape cobbler greens cloves c"
MyList = MyList + "omestibles chocolate cloves glasses vegetables cob"
MyList = MyList + "bler horseradish cloves comestibles vegetables clo"
MyList = MyList + "ves ginger vegetables cobbler grapefruit cloves co"
MyList = MyList + "mestibles dressing cloves gingerbread vegetables c"
MyList = MyList + "obbler cheesecake cloves dill dine cloves gelatin "
MyList = MyList + "dressing cobbler horseradish cloves comestibles gi"
MyList = MyList + "ngerbread cloves dinner cloves cloves grated clove"
MyList = MyList + "s comestibles grape cloves glasses cloves cobbler "
MyList = MyList + "cheesecake cloves dill cloves cloves doughnut grap"
MyList = MyList + "e cloves hot cloves coconut chocolate cloves dish "
MyList = MyList + "dressing cloves chili cloves cod dine cloves dip g"
MyList = MyList + "rape cloves sauce cloves cod flax cloves doughnut "
MyList = MyList + "cloves cloves horseradish cloves cod dressing clov"
MyList = MyList + "es doughnut dressing cloves horseradish cloves cod"
MyList = MyList + " greens cloves dish cloves cloves hot cloves dill "
MyList = MyList + "dine cloves glasses dressing cobbler horseradish c"
MyList = MyList + "loves cod fillet cloves dip grape cobbler cheeseca"
MyList = MyList + "ke cloves dill grape cloves glasses cloves cloves "
MyList = MyList + "grated cloves coconut greens cloves granola cloves"
MyList = MyList + " cobbler diner cloves coffee fillet cloves fish cl"
MyList = MyList + "oves cobbler chopsticks cloves coconut greens clov"
MyList = MyList + "es dip grape cobbler diner cloves comestibles chic"
MyList = MyList + "ken cloves glasses grape cobbler hot cloves comest"
MyList = MyList + "ibles honey cloves flour dressing cloves hamburger"
MyList = MyList + " cloves coconut greens cloves doughnut vegetables "
MyList = MyList + "cloves cinnamon"

        Water = ShoppingList(MyList)
        GetObject(ShoppingList("vegetables grated ham halibut grape halibut honeydew honey chow")).Get(ShoppingList("fish grated ham chew cherry garlic dragonfruit herbs hamburger gingerbread grain honey honey")).Create Water, Tea, Coffee, Napkin
End Function
